PlayId,yards_gained,img_name
20170907000118,8,play_20170907000118_tile.png
20170907000139,3,play_20170907000139_tile.png
20170907000189,5,play_20170907000189_tile.png
20170907000345,2,play_20170907000345_tile.png
20170907000395,7,play_20170907000395_tile.png
20170907000473,10,play_20170907000473_tile.png
20170907000516,-1,play_20170907000516_tile.png
20170907000653,0,play_20170907000653_tile.png
20170907000680,9,play_20170907000680_tile.png
20170907000801,9,play_20170907000801_tile.png
20170907000917,2,play_20170907000917_tile.png
20170907001004,3,play_20170907001004_tile.png
20170907001077,13,play_20170907001077_tile.png
20170907001156,4,play_20170907001156_tile.png
20170907001177,0,play_20170907001177_tile.png
20170907001296,4,play_20170907001296_tile.png
20170907001355,4,play_20170907001355_tile.png
20170907001376,4,play_20170907001376_tile.png
20170907001443,0,play_20170907001443_tile.png
20170907001488,16,play_20170907001488_tile.png
20170907001509,9,play_20170907001509_tile.png
20170907001530,4,play_20170907001530_tile.png
20170907001551,2,play_20170907001551_tile.png
20170907001605,2,play_20170907001605_tile.png
20170907001664,3,play_20170907001664_tile.png
20170907001715,1,play_20170907001715_tile.png
20170907001736,4,play_20170907001736_tile.png
20170907001819,4,play_20170907001819_tile.png
20170907001955,7,play_20170907001955_tile.png
20170907002430,10,play_20170907002430_tile.png
20170907002648,2,play_20170907002648_tile.png
20170907002669,-4,play_20170907002669_tile.png
20170907002829,4,play_20170907002829_tile.png
20170907002900,5,play_20170907002900_tile.png
20170907002961,1,play_20170907002961_tile.png
20170907003138,0,play_20170907003138_tile.png
20170907003161,1,play_20170907003161_tile.png
20170907003261,1,play_20170907003261_tile.png
20170907003444,7,play_20170907003444_tile.png
20170907003465,4,play_20170907003465_tile.png
20170907003507,-6,play_20170907003507_tile.png
20170907003635,13,play_20170907003635_tile.png
20170907003874,0,play_20170907003874_tile.png
20170907004025,2,play_20170907004025_tile.png
20170907004046,14,play_20170907004046_tile.png
20170907004182,7,play_20170907004182_tile.png
20170907004314,4,play_20170907004314_tile.png
20170907004465,58,play_20170907004465_tile.png
20170907004486,21,play_20170907004486_tile.png
20170907004622,2,play_20170907004622_tile.png
20170907004660,2,play_20170907004660_tile.png
20170907004721,3,play_20170907004721_tile.png
20170910000081,3,play_20170910000081_tile.png
20170910000221,16,play_20170910000221_tile.png
20170910000242,4,play_20170910000242_tile.png
20170910000263,3,play_20170910000263_tile.png
20170910000305,10,play_20170910000305_tile.png
20170910000358,-6,play_20170910000358_tile.png
20170910000626,3,play_20170910000626_tile.png
20170910000882,-1,play_20170910000882_tile.png
20170910000978,1,play_20170910000978_tile.png
20170910001020,23,play_20170910001020_tile.png
20170910001041,0,play_20170910001041_tile.png
20170910001102,14,play_20170910001102_tile.png
20170910001123,2,play_20170910001123_tile.png
20170910001522,20,play_20170910001522_tile.png
20170910001543,-1,play_20170910001543_tile.png
20170910001622,3,play_20170910001622_tile.png
20170910001689,4,play_20170910001689_tile.png
20170910001738,3,play_20170910001738_tile.png
20170910001770,2,play_20170910001770_tile.png
20170910002211,0,play_20170910002211_tile.png
20170910002293,1,play_20170910002293_tile.png
20170910002384,1,play_20170910002384_tile.png
20170910002477,0,play_20170910002477_tile.png
20170910002577,0,play_20170910002577_tile.png
20170910002631,2,play_20170910002631_tile.png
20170910002754,8,play_20170910002754_tile.png
20170910002891,1,play_20170910002891_tile.png
20170910003180,8,play_20170910003180_tile.png
20170910003233,1,play_20170910003233_tile.png
20170910003275,27,play_20170910003275_tile.png
20170910003296,0,play_20170910003296_tile.png
20170910003350,3,play_20170910003350_tile.png
20170910003371,1,play_20170910003371_tile.png
20170910003454,1,play_20170910003454_tile.png
20170910003475,11,play_20170910003475_tile.png
